position_id,symbol,direction,path,regime,opened_utc,closed_utc,sure_dk,close_reason,entry_px,sl_px,exit_px,qty,risk_usdt,true_R,realized_pnl,fee_toplam,v2_reason,srdist_band,anchor_px,anchor_dist_pct,anchor_etiket,min_low,max_high,chunk,rsi,adx,macd_hist,volume_ratio,supertrend_dir,ema_fast_pct,ema_medium_pct,a_plus_count,level_count,retest_confirmed,retest_reason,nearest_support_pct,nearest_resistance_pct,v2_rr,v3_conf_delta,confidence,breakout_score,mr_score,active_strategy
p-00001,RSRUSDT,long,breakout,early_reversal_up,2026-04-10 14:31,2026-04-10 14:51,20,sl,0.0015633125999999998,0.00154889,0.0015485802220000001,19190.0,0.276770,-1.107785,-0.306601,0.023887,rr_below_min:0.43<1.5,0.8-1.5%,0.001552,0.7236,kirildi,0.001548,0.001564,00,62.89,38.4,2e-06,1.84,1,-4.0474,-4.0474,13,28,True,break + retest + reclaim@ltf,-0.7211,0.4392,0.4283871464602577,0.08,0.9047422680412371,0.5969,,breakout
p-00004,RPLUSDT,long,mr,ranging,2026-04-12 01:46,2026-04-13 22:42,2696,tp,1.7173434,1.66333,1.80108971,17.43,0.941454,1.524417,1.435168,0.024531,rr_below_min:0.10<1.5,2.5-10%,1.6666958333333333,2.9492,tuttu,1.699,1.802,00,18.17,33.9,-0.003302,7.98,-1,2.1537,2.2177,9,23,True,break + retest + reclaim@mtf,-0.5994,0.3475,0.10145205920728173,0.08,0.4098969072164949,,1.0,mean_reversion
p-00005,RSRUSDT,long,breakout,early_reversal_up,2026-04-14 00:16,2026-04-14 01:29,73,sl,0.0015763151999999999,0.00153435,0.00153404313,19047.0,0.799311,-1.036960,-0.828853,0.023697,rr_below_min:0.85<1.5,2.5-10%,0.0015374439655172413,2.4660,kirildi,0.001534,0.001575,00,83.68,43.3,7e-06,2.14,1,-4.7822,-4.7822,9,28,True,break + retest + reclaim@mtf,-0.2788,0.8039,0.8466803514562101,0.08,0.8531958762886598,0.8624,,breakout
p-00006,RSRUSDT,long,breakout,early_reversal_up,2026-04-14 01:16,2026-04-14 01:29,13,sl,0.0015473093999999999,0.00153436,0.001534053128,19383.0,0.250998,-1.118879,-0.280837,0.023890,long_anchored,<0.8%,0.0015374439655172413,0.6376,kirildi,0.001534,0.001547,00,63.66,40.94,1e-06,3.08,1,-3.0501,-3.0501,10,28,True,break + retest + reclaim@ltf,-0.6300,0.3593,3.068023910304206,0.08,0.8952173913043479,0.7567,,breakout
p-00011,RPLUSDT,long,momentum,trending_up,2026-04-17 07:46,2026-04-18 11:43,1677,sl,1.9923984,1.91524,1.914856952,15.02,1.158919,-1.025220,-1.188147,0.023475,rr_below_min:0.61<1.5,2.5-10%,1.9191180555555556,3.6780,kirildi,1.913,2.051,00,81.52,30.95,0.010474,7.48,1,-3.7280,-4.0440,10,26,True,break + retest + reclaim@ltf,-0.9599,0.0875,0.6075493134800273,0.08,0.7351724137931035,,,momentum
p-00012,RPLUSDT,long,momentum,trending_up,2026-04-17 08:01,2026-04-17 09:10,69,sl,2.0244048,1.99188,1.9914816240000002,14.82,0.482018,-1.061637,-0.511728,0.023806,rr_below_min:0.66<1.5,0.8-1.5%,1.9958874999999998,1.4087,kirildi,1.987,2.051,00,84.96,33.94,0.013821,7.13,1,-4.5956,-5.1545,10,26,True,break + retest + reclaim@ltf,-1.2926,0.2955,0.6593616928486256,0.08,0.7351724137931035,,,momentum
p-00013,RPLUSDT,long,momentum,trending_up,2026-04-17 08:16,2026-04-17 09:10,54,sl,2.0284056,1.99188,1.9914816240000002,14.79,0.540214,-1.054929,-0.569887,0.023782,rr_below_min:0.46<1.5,1.5-2.5%,1.9958874999999998,1.6031,kirildi,1.987,2.051,00,85.38,36.76,0.015419,2.83,1,-4.3418,-5.1316,10,26,True,break + retest + reclaim@ltf,-1.4845,0.1005,0.4647512927225653,0.08,0.7351724137931035,,,momentum
p-00014,RPLUSDT,long,mr,weakening_up,2026-04-18 19:01,2026-04-19 10:41,940,sl,1.8833766,1.84764,1.847270472,15.87,0.567140,-1.052097,-0.596686,0.023682,long_anchored,1.5-2.5%,1.851360119047619,1.7000,kirildi,1.847,1.91,00,29.36,31.39,-0.002217,0.77,-1,1.8888,2.9248,12,27,True,break + retest + reclaim@htf,-0.3106,0.6988,1.6910286593782036,0.08,0.3583505154639176,,0.9322,mean_reversion
p-00015,RPLUSDT,long,mr,weakening_up,2026-04-18 19:16,2026-04-19 10:41,925,sl,1.8943788,1.84763,1.847260474,15.78,0.737696,-1.039919,-0.767144,0.023617,rr_below_min:1.04<1.5,1.5-2.5%,1.851360119047619,2.2709,kirildi,1.847,1.91,00,36.66,32.44,-0.002206,0.59,-1,1.1806,2.2370,12,27,True,break + retest + reclaim@htf,-0.8898,0.1137,1.0392602321920146,0.08,0.3583505154639176,,0.5732,mean_reversion
p-00016,RSRUSDT,long,momentum,trending_up,2026-04-19 12:16,2026-04-19 12:58,42,tp,0.0017953589999999998,0.0017745,0.001827954336,16617.0,0.346614,1.493169,0.517553,0.024083,rr_below_min:1.39<1.5,0.8-1.5%,0.0017780694444444443,0.9630,tuttu,0.00178,0.00183,00,82.88,33.36,1e-05,7.11,1,-5.3470,-5.3470,12,28,True,break + retest + reclaim@ltf,0.0315,1.7242,1.389039386018866,0.08,0.7351724137931035,,,momentum
p-00017,RSRUSDT,long,momentum,trending_up,2026-04-19 12:46,2026-04-19 13:07,21,tp,0.0018123624,0.00179299,0.0018399719319999999,16476.0,0.319180,1.349786,0.430824,0.024070,rr_below_min:0.73<1.5,0.8-1.5%,0.0017966,0.8697,kirildi,0.001794,0.001844,00,82.71,39.83,1.2e-05,4.07,1,-6.1774,-6.1774,12,28,True,break + retest + reclaim@ltf,-0.8461,0.8317,0.7331800637866731,0.08,0.925360824742268,,,momentum
p-00018,RSRUSDT,long,momentum,trending_up,2026-04-19 13:01,2026-04-19 13:20,19,tp,0.0018213641999999999,0.00179299,0.0018622874679999999,16402.0,0.465394,1.390341,0.647056,0.024168,rr_below_min:0.18<1.5,0.8-1.5%,0.0017966,1.3597,tuttu,0.001816,0.001865,00,83.73,42.9,1.2e-05,3.37,1,-6.6375,-6.6375,12,28,True,break + retest + reclaim@ltf,-1.3323,0.3372,0.17796824334665717,0.08,0.925360824742268,,,momentum
p-00019,RSRUSDT,long,momentum,trending_up,2026-04-19 13:16,2026-04-19 14:39,83,sl,0.0018513702,0.00179298,0.001792621404,16157.0,0.943410,-1.031104,-0.972755,0.023550,rr_below_min:0.60<1.5,2.5-10%,0.0017966,2.9584,kirildi,0.001791,0.001884,00,86.5,45.92,1.4e-05,3.12,1,-8.0984,-8.0984,12,28,True,break + retest + reclaim@ltf,-0.2057,1.9027,0.5954997731846442,0.08,0.925360824742268,,,momentum
p-00020,RSRUSDT,long,momentum,trending_up,2026-04-19 13:31,2026-04-19 14:39,68,sl,0.0018573714,0.00179297,0.001792611406,16127.0,1.038601,-1.028238,-1.067930,0.023545,rr_below_min:0.49<1.5,2.5-10%,0.0017966,3.2719,kirildi,0.001791,0.001869,00,86.83,48.93,1.4e-05,4.18,1,-2.8966,-8.2913,12,28,True,break + retest + reclaim@ltf,-0.4151,1.6888,0.49103935025672846,0.08,0.925360824742268,,,momentum
p-00021,ROSEUSDT,long,mr,ranging,2026-04-24 22:46,2026-04-25 13:50,904,sl,0.010562112,0.0103132,0.01031113736,2823.0,0.702679,-1.041830,-0.732071,0.023570,rr_below_min:0.22<1.5,1.5-2.5%,0.010334066666666667,2.1591,kirildi,0.01026,0.01065,00,30.03,30.0,-2.1e-05,0.69,-1,1.2633,2.2097,11,26,True,break + retest + reclaim@htf,-0.3455,0.5640,0.22316398898604098,0.08,0.30680412371134025,,0.8013,mean_reversion
p-00022,ROSEUSDT,long,mr,ranging,2026-04-24 23:01,2026-04-25 13:50,889,sl,0.01055211,0.0103132,0.01031113736,2828.0,0.675637,-1.043564,-0.705071,0.023601,rr_below_min:0.33<1.5,1.5-2.5%,0.010334066666666667,2.0663,kirildi,0.01026,0.01065,00,28.58,32.25,-2.1e-05,0.48,-1,1.4540,2.4022,11,26,True,break + retest + reclaim@htf,-0.1578,0.7534,0.3288668415278047,0.08,0.30680412371134025,,0.8328,mean_reversion
p-00023,ROSEUSDT,long,mr,ranging,2026-04-24 23:16,2026-04-25 13:50,874,sl,0.010572113999999999,0.0103132,0.01031113736,2823.0,0.730914,-1.040229,-0.760318,0.023581,rr_below_min:0.22<1.5,1.5-2.5%,0.010334066666666667,2.2517,kirildi,0.01026,0.01065,00,32.12,34.35,-1.8e-05,0.49,-1,1.2604,2.2068,11,26,True,break + retest + reclaim@htf,-0.3484,0.5611,0.22316398898604098,0.08,0.30680412371134025,,0.5952,mean_reversion
p-00024,RUNEUSDT,long,momentum,trending_up,2026-04-27 01:16,2026-04-27 06:33,317,sl,0.51850368,0.508928,0.5088262144000001,57.4,0.549644,-1.053544,-0.579074,0.023587,insufficient_levels,v2_sl_yok,,,capa_yok,0.5072,0.5309,00,72.15,30.99,0.000508,3.76,1,-1.6842,-2.8806,11,24,True,break + retest + reclaim@ltf,-1.2854,,,0.08,0.925360824742268,,,momentum
p-00025,RUNEUSDT,long,momentum,trending_up,2026-04-27 14:46,2026-04-27 15:05,19,sl,0.51070212,0.504103,0.5040021793999999,58.2,0.384069,-1.076783,-0.413559,0.023622,rr_below_min:0.17<1.5,0.8-1.5%,0.505116447368421,1.0937,kirildi,0.5038,0.5103,00,58.4,32.58,0.00112,1.76,1,-0.8711,-0.4596,9,26,True,break + retest + reclaim@ltf,-1.0246,0.2366,0.17145451952568314,0.08,0.9075862068965518,,,momentum
p-00026,RUNEUSDT,long,momentum,trending_up,2026-04-27 15:01,2026-04-27 15:19,18,sl,0.5066012999999999,0.502386,0.5022855228,58.7,0.247438,-1.119572,-0.277025,0.023689,sl_too_tight:0.002241<floor:0.002533,<0.8%,0.505116447368421,0.2931,kirildi,0.5016,0.5067,00,50.13,31.51,0.001039,0.78,1,-0.1064,0.2885,9,26,True,break + retest + reclaim@ltf,-0.2611,1.0098,,0.08,0.7926436781609196,,,momentum
p-00027,RUNEUSDT,long,momentum,trending_up,2026-04-29 03:16,2026-04-29 08:03,287,sl,0.53150628,0.520072,0.5199679856,55.9,0.639176,-1.045880,-0.668502,0.023511,insufficient_levels,v2_sl_yok,,,capa_yok,0.5183,0.5413,00,80.87,41.87,0.002207,1.56,1,-2.9741,-4.0285,9,27,True,break + retest + reclaim@ltf,-0.0368,,,0.08,0.8738144329896907,,,momentum
p-00028,RUNEUSDT,long,momentum,trending_up,2026-04-29 03:46,2026-04-29 06:14,148,sl,0.5391078,0.525752,0.5256468496,55.2,0.737240,-1.039762,-0.766554,0.023510,insufficient_levels,v2_sl_yok,,,capa_yok,0.5256,0.5413,00,84.48,47.19,0.00272,2.48,1,-3.5930,-4.9851,9,27,True,break + retest + reclaim@ltf,-1.4585,,,0.08,0.8738144329896907,,,momentum
p-00032,ROSEUSDT,long,mr,ranging,2026-05-03 01:31,2026-05-03 02:14,43,sl,0.010002,0.0098794,0.00987742412,2968.0,0.363877,-1.080976,-0.393342,0.023601,rr_below_min:0.85<1.5,0.8-1.5%,0.009899285714285715,1.0269,kirildi,0.00987,0.01005,00,27.54,32.79,-2e-05,1.29,-1,1.9287,1.9287,11,25,True,break + retest + reclaim@mtf,-0.0299,1.0915,0.8459182637243426,0.08,0.4098969072164949,,0.9517,mean_reversion
p-00033,RSRUSDT,long,breakout,early_reversal_up,2026-05-03 20:46,2026-05-04 00:08,202,sl,0.001830366,0.00180564,0.001805278872,16235.0,0.401427,-1.073420,-0.430899,0.023610,rr_below_min:0.75<1.5,0.8-1.5%,0.0018092777777777777,1.1521,kirildi,0.001805,0.001849,00,70.91,30.63,3e-06,2.89,1,-1.6072,-1.6072,9,29,True,break + retest + reclaim@ltf,-0.0767,0.9993,0.7545581059776203,0.08,0.7351724137931035,0.6364,,breakout
p-00034,RUNEUSDT,long,momentum,trending_up,2026-05-08 11:01,2026-05-08 11:51,50,tp,0.57951588,0.568203,0.595565863,51.2,0.579219,1.377187,0.797693,0.024066,insufficient_levels,v2_sl_yok,,,capa_yok,0.5806,0.5967,00,84.07,34.63,0.002146,5.83,1,-2.7446,-3.2625,9,32,True,break + retest + reclaim@ltf,-2.3976,,,0.08,0.8738144329896907,,,momentum
p-00035,RUNEUSDT,long,momentum,trending_up,2026-05-08 11:16,2026-05-08 15:25,249,sl,0.5901179999999999,0.576745,0.576629651,50.3,0.672662,-1.043524,-0.701939,0.023475,insufficient_levels,v2_sl_yok,,,capa_yok,0.5766,0.6085,00,88.77,37.95,0.002977,5.69,1,-4.0793,-4.7915,9,32,True,break + retest + reclaim@ltf,-4.1455,,,0.08,0.8738144329896907,,,momentum
p-00036,RUNEUSDT,long,momentum,trending_up,2026-05-08 11:31,2026-05-08 15:11,220,sl,0.59281854,0.57916,0.579044168,50.1,0.684293,-1.042799,-0.713580,0.023484,insufficient_levels,v2_sl_yok,,,capa_yok,0.5791,0.6085,00,89.62,41.09,0.00349,3.05,1,-4.1105,-5.0220,9,32,True,break + retest + reclaim@ltf,-4.5815,,,0.08,0.8738144329896907,,,momentum
p-00037,RSRUSDT,long,momentum,trending_up,2026-05-08 17:46,2026-05-09 09:38,952,sl,0.0021594317999999997,0.00209789,0.0020974704219999998,13744.0,0.845830,-1.034486,-0.875000,0.023403,insufficient_levels,v2_sl_yok,,,capa_yok,0.002097,0.002229,00,75.75,37.43,6e-06,2.38,1,-2.7707,-2.7707,9,36,True,break + retest + reclaim@mtf,-0.0853,,,0.08,0.925360824742268,,,momentum
p-00038,RSRUSDT,long,momentum,trending_up,2026-05-08 20:31,2026-05-08 21:41,70,tp,0.0021744348,0.00215367,0.002198730166,13671.0,0.283876,1.085785,0.308228,0.023914,rr_below_min:0.44<1.5,<0.8%,0.002158,0.7558,kirildi,0.002157,0.0022,00,68.21,37.56,-1e-06,1.2,1,-3.3093,-3.3093,9,37,True,break + retest + reclaim@mtf,-0.6388,0.4202,0.4386686406755722,0.08,0.8626086956521739,,,momentum
p-00039,RSRUSDT,long,momentum,trending_up,2026-05-08 20:46,2026-05-08 23:33,167,sl,0.0021794358,0.00215367,0.0021532392659999997,13641.0,0.351471,-1.083980,-0.380988,0.023641,rr_below_min:0.13<1.5,0.8-1.5%,0.002158,0.9835,kirildi,0.002153,0.002206,00,69.33,38.02,1e-06,0.99,1,-3.5317,-3.5317,9,37,True,break + retest + reclaim@mtf,-0.8673,0.1893,0.1291044454964276,0.08,0.8738144329896907,,,momentum
p-00040,RPLUSDT,long,momentum,trending_up,2026-05-10 05:46,2026-05-10 15:29,583,tp,2.0294057999999997,2.01031,2.053199278,14.62,0.279181,1.160487,0.323986,0.023875,rr_below_min:1.18<1.5,0.8-1.5%,2.01434625,0.7421,tuttu,2.022,2.055,00,64.2,32.75,0.002961,2.23,1,-0.6774,-0.4801,10,22,True,break + retest + reclaim@ltf,-0.6554,0.9894,1.1811294756918003,0.08,0.8082608695652175,,,momentum
p-00041,RUNEUSDT,long,momentum,trending_up,2026-05-10 16:01,2026-05-10 20:48,287,sl,0.6095218800000001,0.601822,0.6017016356,48.6,0.374214,-1.078554,-0.403610,0.023546,insufficient_levels,v2_sl_yok,,,capa_yok,0.6012,0.6173,00,87.79,31.71,0.00174,5.4,1,-1.9966,-2.3576,6,35,True,break + retest + reclaim@htf,-0.2526,,,0.08,0.8738144329896907,,,momentum
p-00042,RUNEUSDT,long,momentum,trending_up,2026-05-10 16:16,2026-05-10 20:45,269,sl,0.6144228599999999,0.605457,0.6053359086,48.3,0.433051,-1.067924,-0.462465,0.023566,insufficient_levels,v2_sl_yok,,,capa_yok,0.6047,0.6167,00,90.48,35.44,0.002153,3.3,1,-2.5305,-3.0027,8,35,True,break + retest + reclaim@htf,-1.0447,,,0.08,0.8738144329896907,,,momentum
p-00043,RPLUSDT,long,mr,weakening_up,2026-05-11 04:16,2026-05-11 10:12,356,tp,2.0184035999999996,1.98713,2.059917934,14.7,0.459722,1.275293,0.586280,0.023981,rr_below_min:1.08<1.5,0.8-1.5%,1.991125,1.3515,tuttu,2.018,2.064,00,28.38,32.84,-0.003197,0.66,-1,1.2688,1.7102,10,24,True,break + retest + reclaim@mtf,-1.2542,0.0831,1.0772380891072022,0.08,0.30680412371134025,,0.7156,mean_reversion
p-00044,RSRUSDT,long,mr,ranging,2026-05-12 14:46,2026-05-12 22:02,436,tp,0.0019673934,0.00193003,0.0020225954,15076.0,0.563291,1.434720,0.808164,0.024061,rr_below_min:0.18<1.5,1.5-2.5%,0.0019339181034482757,1.7015,tuttu,0.001935,0.002028,00,32.41,32.87,-1e-06,3.35,-1,1.6663,1.6663,10,37,True,break + retest + reclaim@ltf,-0.6415,0.3737,0.17768890520516084,0.08,0.33287356321839084,,0.8216,mean_reversion
p-00045,RSRUSDT,long,mr,choppy,2026-05-21 11:46,2026-05-21 17:11,325,tp,0.0017323464,0.00171607,0.001751869556,17153.0,0.279189,1.113850,0.310975,0.023906,rr_below_min:0.09<1.5,>10%(bozuk),0.0015204749999999996,12.2303,tuttu,0.00172,0.001755,00,27.68,32.05,-3e-06,0.63,-1,4.0143,4.0143,9,32,True,break + retest + reclaim@mtf,-0.9757,0.1952,0.09398243949865792,0.08,0.30680412371134025,,0.8097,mean_reversion
p-00046,RSRUSDT,short,mr,choppy,2026-05-22 14:01,2026-05-22 14:19,18,tp,0.0018326334,0.00186329,0.001789767882,16192.0,0.496392,1.350983,0.670617,0.023462,rr_below_min:1.08<1.5,1.5-2.5%,0.0018595865384615383,1.4707,tuttu,0.001789,0.001825,00,79.48,30.16,7e-06,1.14,1,-1.8404,-1.8404,9,31,True,break + retest + reclaim@htf,-0.2710,1.4091,1.0779804864801623,0.08,0.33773195876288664,,0.8849,mean_reversion
p-00047,RPLUSDT,long,mr,ranging,2026-06-16 02:31,2026-06-22 22:38,9847,sl,1.4022804,1.3068,1.3065386399999999,19.8,1.890512,-1.014085,-1.917141,0.021454,rr_below_min:0.24<1.5,2.5-10%,1.309470238095238,6.6185,kirildi,1.306,1.447,00,26.25,33.02,-0.001254,4.97,-1,1.7480,2.1754,7,44,True,break + retest + reclaim@ltf,-0.8834,0.3159,0.24313995089308738,0.08,0.390344827586207,,1.0,mean_reversion
p-00048,ROSEUSDT,long,mr,ranging,2026-06-17 09:01,2026-06-17 18:06,545,sl,0.007002400200000001,0.0068398,0.00683843204,4247.0,0.690563,-1.042462,-0.719886,0.023513,rr_below_min:0.48<1.5,1.5-2.5%,0.006853666666666667,2.1240,kirildi,0.00679,0.00718,00,29.16,31.83,-3.5e-05,0.9,-1,2.9045,4.3338,9,42,True,break + retest + reclaim@mtf,-0.6400,1.1352,0.4771154816148715,0.08,0.3583505154639176,,0.8296,mean_reversion
p-00049,ROSEUSDT,long,mr,ranging,2026-06-17 09:16,2026-06-17 18:06,530,sl,0.0070354068,0.0068398,0.00683843204,4227.0,0.826830,-1.035364,-0.856070,0.023458,rr_below_min:0.22<1.5,2.5-10%,0.006853666666666667,2.5832,kirildi,0.00679,0.00718,00,33.25,33.32,-2.9e-05,0.93,-1,2.4050,2.4050,9,42,True,break + retest + reclaim@mtf,-1.1223,0.6442,0.21501579130943133,0.08,0.3583505154639176,,0.5501,mean_reversion
p-00050,ROSEUSDT,long,mr,ranging,2026-06-17 09:31,2026-06-17 18:06,515,sl,0.0070034004,0.0068398,0.00683843204,4245.0,0.694484,-1.042205,-0.723794,0.023503,rr_below_min:0.46<1.5,1.5-2.5%,0.006853666666666667,2.1380,kirildi,0.00679,0.00718,00,31.41,34.75,-2.6e-05,0.43,-1,2.8707,2.8707,9,42,True,break + retest + reclaim@mtf,-0.6012,1.1019,0.4586068667815987,0.08,0.3583505154639176,,0.5294,mean_reversion
p-00054,RSRUSDT,short,mr,ranging,2026-07-09 02:31,2026-07-09 02:42,11,tp,0.001219756,0.0012376,0.00119498895,24288.0,0.433395,1.333846,0.578082,0.023460,rr_below_min:0.52<1.5,0.8-1.5%,0.001235142857142857,1.2615,tuttu,0.001194,0.00122,00,78.41,33.26,4e-06,2.69,1,-1.6771,-1.6771,11,41,True,break + retest + reclaim@htf,-0.7635,0.2893,0.5206938662292494,0.08,0.4098969072164949,,0.6155,mean_reversion
p-00055,ROSEUSDT,short,mr,ranging,2026-07-09 06:46,2026-07-09 23:20,994,tp,0.0058868224,0.0060105,0.00571084194,5035.0,0.622717,1.385387,0.862704,0.023358,rr_below_min:0.58<1.5,1.5-2.5%,0.005998628571428572,1.8993,tuttu,0.005695,0.005896,00,81.52,31.85,2.3e-05,2.72,1,-3.2291,-3.2291,6,38,True,break + retest + reclaim@htf,-0.4313,0.7096,0.5812963953156483,0.08,0.38927835051546394,,0.6227,mean_reversion
p-00056,ROSEUSDT,short,mr,ranging,2026-07-09 07:01,2026-07-10 14:21,1880,sl,0.0058468304,0.0060105,0.0060117021,5070.0,0.829805,-1.036326,-0.859949,0.024049,rr_below_min:0.19<1.5,2.5-10%,0.005998628571428572,2.5962,kirildi,0.005695,0.006032,00,70.9,33.86,1.9e-05,0.72,1,-2.5682,-2.5682,6,38,True,break + retest + reclaim@htf,-0.5433,0.2487,0.18504733797288278,0.08,0.2861855670103093,,0.7158,mean_reversion
p-00057,RUNEUSDT,long,momentum,trending_up,2026-07-17 18:16,2026-07-19 06:59,2203,tp,0.42838566,0.419386,0.4410497724,69.2,0.622776,1.368534,0.852291,0.024066,rr_below_min:1.05<1.5,1.5-2.5%,0.42023076923076924,1.9036,tuttu,0.422,0.4442,00,77.36,31.63,0.00078,4.01,1,-1.4454,-2.0060,5,28,True,break + retest + reclaim@ltf,-0.0979,2.1287,1.0465631135699862,0.08,0.8738144329896907,,,momentum
p-00058,RUNEUSDT,long,momentum,trending_up,2026-07-18 01:16,2026-07-18 08:59,463,sl,0.42828564,0.424697,0.4246120606,69.2,0.248334,-1.118735,-0.277820,0.023608,sl_too_tight:0.001044<floor:0.002141,<0.8%,0.4277981818181818,0.1138,kirildi,0.4244,0.4295,00,53.77,41.82,-0.000367,1.01,1,-0.0289,-0.5895,6,28,True,break + retest + reclaim@mtf,-0.0761,0.9568,,0.08,0.8738144329896907,,,momentum
p-00059,RUNEUSDT,long,momentum,trending_up,2026-07-18 02:16,2026-07-18 08:59,403,sl,0.42848568,0.424804,0.42471903920000004,69.2,0.254772,-1.115774,-0.284268,0.023617,sl_too_tight:0.001144<floor:0.002142,<0.8%,0.4277981818181818,0.1604,kirildi,0.4244,0.4295,00,52.29,42.7,-0.000187,1.34,1,0.0161,-0.4977,6,28,True,break + retest + reclaim@ltf,-0.1011,0.9315,,0.08,0.8626086956521739,,,momentum
p-00060,RUNEUSDT,long,momentum,trending_up,2026-07-18 02:46,2026-07-19 03:01,1455,tp,0.4275855,0.419126,0.4400499724,69.3,0.586243,1.432404,0.839737,0.024051,rr_below_min:0.02<1.5,1.5-2.5%,0.41997,1.7810,tuttu,0.422,0.4405,00,48.22,40.55,-0.000234,1.4,1,0.1799,-0.2879,6,28,True,break + retest + reclaim@ltf,-1.7685,0.0625,0.02399308690928961,0.08,0.8626086956521739,,,momentum
p-00061,RUNEUSDT,long,momentum,trending_up,2026-07-18 03:31,2026-07-18 08:59,328,sl,0.42798558,0.424415,0.424330117,69.3,0.247441,-1.119255,-0.276950,0.023626,sl_too_tight:0.000782<floor:0.002139,<0.8%,0.427759649122807,0.0528,kirildi,0.4244,0.4284,00,49.67,36.28,-0.000239,0.13,1,0.0846,-0.3127,6,28,True,break + retest + reclaim@ltf,-0.0183,1.0242,,0.08,0.7707216494845361,,,momentum
p-00062,RUNEUSDT,long,momentum,trending_up,2026-07-18 03:46,2026-07-19 06:59,1633,tp,0.42778554,0.419045,0.44044389359999997,69.3,0.605719,1.408501,0.853157,0.024067,rr_below_min:0.01<1.5,1.5-2.5%,0.41988888888888887,1.8459,tuttu,0.422,0.4442,00,48.48,34.97,-0.000246,0.51,1,0.1308,-0.2667,6,28,True,break + retest + reclaim@ltf,-1.8126,0.0260,0.006127766658276443,0.08,0.7707216494845361,,,momentum
p-00063,RUNEUSDT,long,momentum,trending_up,2026-07-19 00:16,2026-07-19 03:01,165,tp,0.43178634,0.426567,0.43913115620000004,68.7,0.358569,1.340485,0.480656,0.023933,rr_below_min:1.12<1.5,0.8-1.5%,0.42742461538461535,1.0102,tuttu,0.4309,0.4405,00,63.46,33.2,0.000118,10.35,1,-0.5396,-0.8176,5,28,True,break + retest + reclaim@ltf,-0.0241,1.2907,1.118677088460612,0.08,0.9650574712643679,,,momentum
p-00064,RUNEUSDT,long,momentum,trending_up,2026-07-19 00:31,2026-07-19 06:59,388,tp,0.43248648,0.426567,0.4408808062,68.6,0.406076,1.359069,0.551886,0.023965,rr_below_min:0.85<1.5,0.8-1.5%,0.42742461538461535,1.1704,tuttu,0.4325,0.4442,00,65.84,35.02,0.000202,1.01,1,-0.6310,-0.9317,5,28,True,break + retest + reclaim@ltf,-0.1858,1.1269,0.8546214889642839,0.08,0.9650574712643679,,,momentum
p-00065,RUNEUSDT,long,momentum,trending_up,2026-07-19 01:16,2026-07-19 07:00,344,tp,0.43438686000000004,0.426557,0.44562985619999995,68.3,0.534779,1.390956,0.743855,0.024042,rr_below_min:0.39<1.5,1.5-2.5%,0.427415625,1.6048,tuttu,0.4331,0.4471,00,71.65,41.57,0.000398,3.84,1,-0.8342,-1.2257,5,29,True,break + retest + reclaim@ltf,-0.6212,0.6858,0.3853565347311865,0.08,0.925360824742268,,,momentum
p-00066,RUNEUSDT,long,momentum,trending_up,2026-07-19 07:01,2026-07-19 07:05,4,tp,0.44128824,0.43756,0.4462927236,67.4,0.251283,1.247090,0.313373,0.023929,sl_too_tight:0.001874<floor:0.002206,<0.8%,0.4399857142857143,0.2952,tuttu,0.4414,0.4477,00,76.35,55.44,0.000121,12.06,1,-1.1312,-1.7206,7,27,True,break + retest + reclaim@mtf,-0.2502,0.6811,,0.08,0.925360824742268,,,momentum
p-00067,RUNEUSDT,long,momentum,trending_up,2026-07-19 07:16,2026-07-19 08:01,45,tp,0.44188836000000004,0.438134,0.4468796062,67.4,0.253044,1.234761,0.312449,0.023961,rr_below_min:0.93<1.5,<0.8%,0.4399857142857143,0.4306,tuttu,0.44,0.449,00,77.59,57.11,0.000315,4.8,1,-1.1475,-1.7815,7,27,True,break + retest + reclaim@ltf,-0.3809,0.5492,0.9270432480650717,0.08,0.925360824742268,,,momentum
